gene_id	variable	value
118	r2_diff	0.105949948950521
119	r2_diff	0.105928789183652
120	r2_diff	0.105876271846731
121	r2_diff	0.105794209056727
122	r2_diff	0.105773743300485
123	r2_diff	0.105669332330254
124	r2_diff	0.105653642673988
125	r2_diff	0.105609736243771
126	r2_diff	0.105538738833076
127	r2_diff	0.105444233387294
128	r2_diff	0.105426883648676
129	r2_diff	0.105298898149286
130	r2_diff	0.105279263676199
131	r2_diff	0.104936930395558
132	r2_diff	0.104934562269271
133	r2_diff	0.104899669354777
134	r2_diff	0.104839036266346
135	r2_diff	0.104762681737034
136	r2_diff	0.104548861708548
137	r2_diff	0.104480847342906
138	r2_diff	0.104479923183548
139	r2_diff	0.104457767647889
140	r2_diff	0.104447049905978
141	r2_diff	0.104439541394615
142	r2_diff	0.104333941480134
143	r2_diff	0.104332738601982
144	r2_diff	0.104290023412472
145	r2_diff	0.104217031809078
146	r2_diff	0.104200710695995
147	r2_diff	0.104188821087128
148	r2_diff	0.104111528019531
149	r2_diff	0.104069378784288
150	r2_diff	0.103964337543885
151	r2_diff	0.103917142238249
152	r2_diff	0.103842438995972
153	r2_diff	0.103806540285195
154	r2_diff	0.103788241100376
155	r2_diff	0.1036955316897
156	r2_diff	0.103622216824944
157	r2_diff	0.103617353085224
158	r2_diff	0.103578469608173
159	r2_diff	0.103576180139759
160	r2_diff	0.103560340045197
161	r2_diff	0.103550795590981
162	r2_diff	0.103469213060758
163	r2_diff	0.103437357853651
164	r2_diff	0.103406811821442
165	r2_diff	0.103379387503443
166	r2_diff	0.103260861893629
167	r2_diff	0.103256186854322
168	r2_diff	0.103227545925547
169	r2_diff	0.103186454575441
170	r2_diff	0.103101447489602
171	r2_diff	0.102942060431734
172	r2_diff	0.102922436213161
173	r2_diff	0.102788906220888
174	r2_diff	0.102701456446454
175	r2_diff	0.102668568760072
176	r2_diff	0.102542979237676
177	r2_diff	0.102488957127327
178	r2_diff	0.102381805329123
179	r2_diff	0.102343715398833
180	r2_diff	0.102254512615968
181	r2_diff	0.102233804939693
182	r2_diff	0.102156583394485
183	r2_diff	0.102115215512607
184	r2_diff	0.102075262705624
185	r2_diff	0.101979170463699
186	r2_diff	0.10196961299097
187	r2_diff	0.101892015346056
188	r2_diff	0.101818519584057
189	r2_diff	0.101691757577149
190	r2_diff	0.101629696835034
191	r2_diff	0.101607709693669
192	r2_diff	0.101599868346698
193	r2_diff	0.101577397028544
