Var1	Var2	value
13	3	-0.0588903145437005
14	3	-0.0542063430912599
15	3	0.101271675643102
16	3	0.0761575521964079
17	3	-0.320084481763235
18	3	0.121188945426915
19	3	-0.150073558001272
20	3	-0.041131951898141
21	3	-0.137034992792555
1	4	-0.110735194606939
2	4	0.236516387513009
3	4	0.075334383571812
4	4	-0.0255448798863626
5	4	0.058812752026558
6	4	0.0358289756823947
7	4	-0.151272572136525
8	4	0.0567184393022911
9	4	0.139835806245686
10	4	-0.0468737581577397
11	4	-0.209539866851051
12	4	-0.0463631675459919
13	4	0.0289782524414303
14	4	-0.0155326533909995
15	4	-0.0282646074966357
16	4	-0.0497885447574444
17	4	-0.0155987552927538
18	4	0.0495351615963557
19	4	0.0705431257154455
20	4	0.0756079787522577
21	4	0.0383314701852098
1	5	-0.0504103709373086
2	5	0.136715099817429
3	5	0.352047397370296
4	5	0.161974575524906
5	5	-0.0256843561760585
6	5	0.0487038464890554
7	5	0.15564949022503
8	5	-0.00850611738628382
9	5	-0.103879754227023
10	5	-0.0434274510772148
11	5	0.166937722596756
12	5	-0.0475253457322364
13	5	-0.0800196043665869
14	5	0.0144654868592247
15	5	0.132408166421046
16	5	0.0121067372569678
17	5	-0.0672841474752351
18	5	-0.0868232923486599
19	5	-0.155156973119231
20	5	-0.145544156268488
21	5	-0.104169529500198
1	6	-0.155441010423648
2	6	0.257469746052717
3	6	0.204214034926588
4	6	0.0911518297637842
5	6	-0.0255487388524624
6	6	0.0112628694618483
7	6	-0.121170359714611
8	6	-0.0383210961421332
9	6	-0.0354022347286414
10	6	-0.107653966913267
11	6	0.21666343951777
12	6	0.0937976218357789
13	6	-0.154110108425108
14	6	0.0496323801984209
15	6	0.0657734046948019
16	6	0.189887928035182
17	6	-0.0192136812845717
18	6	-0.23331414956241
19	6	0.414416247928533
20	6	0.0716259680925512
21	6	-0.0488664069728776
1	7	-0.172079218095989
2	7	0.239462114651622
3	7	0.184428947002897
4	7	0.102300675564871
5	7	-0.132425401479899
6	7	0.0335561779267812
7	7	-0.152445917238413
8	7	-0.123570065152585
9	7	-0.0212993691762783
10	7	0.0393638545863543
11	7	0.0743328136054713
12	7	0.0520558542815375
13	7	-0.0578943401783229
14	7	0.00357834569358056
15	7	-0.0855150628828482
16	7	-0.166807121520972
17	7	0.143039344757887
18	7	-0.107371784802437
19	7	0.0365985956084823
20	7	-0.0868879295315306
21	7	0.0506408805552133
1	8	-0.151067220693291
2	8	0.302590790005497
3	8	0.0646788157535378
4	8	0.0307096931266129
5	8	0.00502392118524396
6	8	0.0663917068919179
7	8	-0.237852108713108
8	8	0.00568622995127142
9	8	-0.0373012541902645
10	8	-0.113726401164338
11	8	-0.154057019339148
12	8	0.0636678745310426
13	8	0.0952198361013763
14	8	0.0303582429360394
15	8	-0.099533276797209
16	8	-0.0838146394991957
17	8	0.106756579540328
18	8	0.135368675062728
19	8	-0.130904796928714
20	8	-0.0196489255129948
21	8	0.102189062570535
1	9	-0.14771045102221
2	9	0.263505304755758
3	9	0.0800641564514942
4	9	0.0815416941725833
5	9	0.0304175338845778
6	9	0.0231962487516515
7	9	-0.351768204290287
8	9	0.0540278127480375
9	9	-0.0360095468955393
10	9	-0.0180725936844466
11	9	-0.134375439930377
12	9	0.0228588649170421
13	9	0.0990590686002602
14	9	0.00758349954484954
15	9	-0.140094302598422
16	9	-0.0601692967187444
17	9	0.0937248339253694
18	9	0.112711620759242
19	9	-0.13725478846189
20	9	0.0760623961950581
21	9	0.167407659871537
1	10	0.314434683297155
2	10	-0.779173427646943
3	10	-0.463020160736242
4	10	-0.196708815938744
5	10	-0.0986111681260887
6	10	-0.0503438479105041
7	10	0.148922404676954
8	10	-0.0197905515664349
9	10	-0.0449812022609412
10	10	0.0862208066680382
11	10	0.0459921224727457
12	10	-0.00736037359526771
13	10	-0.00922324472470919
14	10	0.0132315325404193
15	10	-0.00450153658793232
16	10	0.00151143811327355
17	10	0.0188068205402275
18	10	0.00428221396113557
19	10	0.0184240779274313
20	10	-0.0143936384301154
21	10	-0.0524462826655661
1	1	0.0450320515596834
2	1	0.384024220076364
3	1	-0.0891399510802271
4	1	-0.0166653490904764
5	1	0.245943310462584
6	1	-0.140330993593994
7	1	0.260039942402342
8	1	0.0673836591214562
9	1	0.158373408823977
10	1	0.238052518582895
11	1	-0.0248771689066834
12	1	-0.115640774003953
13	1	0.18256065463932
14	1	-0.0201827235916003
15	1	0.121014085150115
16	1	0.151932002447236
17	1	0.261156600558594
18	1	-0.293119902077129
19	1	0.0973058983083305
20	1	-0.0117299986528967
21	1	-0.116458365990187
1	CHEO	0.0447449474386053
2	CHEO	0.455320224185682
3	CHEO	-0.106445139014295
4	CHEO	-0.0174201211042535
5	CHEO	0.318502250032542
6	CHEO	-0.153349227916136
7	CHEO	0.259585258511946
8	CHEO	0.0953117780903852
9	CHEO	0.172977756122355
10	CHEO	0.217076783744236
11	CHEO	-0.015737484554844
12	CHEO	-0.143275779761654
13	CHEO	0.207045554678985
14	CHEO	-0.0527303493160838
15	CHEO	0.107176362943029
16	CHEO	0.0888539595474618
17	CHEO	0.118510837260762
18	CHEO	-0.154930982509772
19	CHEO	0.019099918161985
20	CHEO	0.0188697408616792
21	CHEO	-0.0598916172856187
1	DGN	0.314434683297155
2	DGN	-0.779173427646943
3	DGN	-0.463020160736242
4	DGN	-0.196708815938744
5	DGN	-0.0986111681260887
6	DGN	-0.0503438479105041
7	DGN	0.148922404676954
8	DGN	-0.0197905515664349
9	DGN	-0.0449812022609412
