Figure2C		
FILTER	SAMPLE	PERCENT
EXP_OUTLIER_RV	samp54	3.57142857
EXP_OUTLIER_RV_CADD	samp54	1.47058824
EXP_OUTLIER_RV_CADD_HPO	samp54	0.21008403
EXP_OUTLIER_PLI	samp55	14.17244797
EXP_OUTLIER_ASE	samp55	41.12983152
EXP_OUTLIER_RIVER	samp55	57.4826561
EXP_OUTLIER_HPO	samp55	8.12685828
EXP_OUTLIER_RV	samp55	37.36372646
EXP_OUTLIER_RV_CADD	samp55	7.33399405
EXP_OUTLIER_RV_CADD_HPO	samp55	1.09018831
EXP_OUTLIER_PLI	samp56	11.1827957
EXP_OUTLIER_ASE	samp56	9.89247312
EXP_OUTLIER_RIVER	samp56	8.38709677
EXP_OUTLIER_HPO	samp56	4.94623656
EXP_OUTLIER_RV	samp56	3.44086022
EXP_OUTLIER_RV_CADD	samp56	1.07526882
EXP_OUTLIER_RV_CADD_HPO	samp56	0.21505376
EXP_OUTLIER_PLI	samp57	14.7275405
EXP_OUTLIER_ASE	samp57	9.72017673
EXP_OUTLIER_RIVER	samp57	13.40206186
EXP_OUTLIER_HPO	samp57	12.51840943
EXP_OUTLIER_RV	samp57	6.48011782
EXP_OUTLIER_RV_CADD	samp57	2.06185567
EXP_OUTLIER_RV_CADD_HPO	samp57	0.29455081
EXP_OUTLIER_PLI	samp58	24.63087248
EXP_OUTLIER_ASE	samp58	7.18120805
EXP_OUTLIER_RIVER	samp58	10.60402685
EXP_OUTLIER_HPO	samp58	11.34228188
EXP_OUTLIER_RV	samp58	3.08724832
EXP_OUTLIER_RV_CADD	samp58	1.1409396
EXP_OUTLIER_RV_CADD_HPO	samp58	0.13422819
EXP_OUTLIER_PLI	samp59	11.07692308
EXP_OUTLIER_ASE	samp59	9.02564103
EXP_OUTLIER_RIVER	samp59	9.94871795
EXP_OUTLIER_HPO	samp59	8.82051282
EXP_OUTLIER_RV	samp59	5.02564103
EXP_OUTLIER_RV_CADD	samp59	1.53846154
EXP_OUTLIER_RV_CADD_HPO	samp59	0.20512821
EXP_OUTLIER_PLI	samp60	12.72727273
EXP_OUTLIER_ASE	samp60	46.85314685
EXP_OUTLIER_RIVER	samp60	64.47552448
EXP_OUTLIER_HPO	samp60	11.04895105
EXP_OUTLIER_RV	samp60	47.83216783
EXP_OUTLIER_RV_CADD	samp60	9.51048951
EXP_OUTLIER_RV_CADD_HPO	samp60	1.67832168
EXP_OUTLIER_PLI	samp61	13.73937677
EXP_OUTLIER_ASE	samp61	54.81586402
EXP_OUTLIER_RIVER	samp61	59.63172805
EXP_OUTLIER_HPO	samp61	9.91501416
EXP_OUTLIER_RV	samp61	42.06798867
EXP_OUTLIER_RV_CADD	samp61	6.6572238
EXP_OUTLIER_RV_CADD_HPO	samp61	1.13314448
EXP_OUTLIER_PLI	samp62	14.61434371
EXP_OUTLIER_ASE	samp62	11.36671177
EXP_OUTLIER_RIVER	samp62	10.82543978
EXP_OUTLIER_HPO	samp62	9.06630582
EXP_OUTLIER_RV	samp62	4.46549391
EXP_OUTLIER_RV_CADD	samp62	2.02976996
EXP_OUTLIER_RV_CADD_HPO	samp62	0
EXP_OUTLIER_PLI	samp63	12.62135922
EXP_OUTLIER_ASE	samp63	43.36569579
EXP_OUTLIER_RIVER	samp63	63.26860841
EXP_OUTLIER_HPO	samp63	10.84142395
EXP_OUTLIER_RV	samp63	41.26213592
EXP_OUTLIER_RV_CADD	samp63	6.63430421
EXP_OUTLIER_RV_CADD_HPO	samp63	1.45631068
EXP_OUTLIER_PLI	samp64	12.95774648
EXP_OUTLIER_ASE	samp64	41.12676056
EXP_OUTLIER_RIVER	samp64	65.07042254
EXP_OUTLIER_HPO	samp64	8.73239437
EXP_OUTLIER_RV	samp64	53.8028169
EXP_OUTLIER_RV_CADD	samp64	10.98591549
EXP_OUTLIER_RV_CADD_HPO	samp64	0.70422535
EXP_OUTLIER_PLI	samp65	14.54005935
EXP_OUTLIER_ASE	samp65	9.79228487
EXP_OUTLIER_RIVER	samp65	9.19881306
EXP_OUTLIER_HPO	samp65	2.22551929
EXP_OUTLIER_RV	samp65	4.59940653
EXP_OUTLIER_RV_CADD	samp65	2.52225519
EXP_OUTLIER_RV_CADD_HPO	samp65	0.14836795
EXP_OUTLIER_PLI	samp66	13.20754717
EXP_OUTLIER_ASE	samp66	9.83827493
EXP_OUTLIER_RIVER	samp66	7.27762803
EXP_OUTLIER_HPO	samp66	5.52560647
