SampleID	OutlierCount	Direction	Cutoff	Cohort	NumGenes
samp445	197	Over	2	DGNControl	14763
samp446	146	Over	2	DGNControl	14763
samp447	196	Over	2	DGNControl	14763
samp448	245	Over	2	DGNControl	14763
samp449	206	Over	2	DGNControl	14763
samp450	160	Over	2	DGNControl	14763
samp451	244	Over	2	DGNControl	14763
samp452	182	Over	2	DGNControl	14763
samp453	286	Over	2	DGNControl	14763
samp454	279	Over	2	DGNControl	14763
samp455	234	Over	2	DGNControl	14763
samp456	231	Over	2	DGNControl	14763
samp457	167	Over	2	DGNControl	14763
samp458	127	Over	2	DGNControl	14763
samp459	401	Over	2	DGNControl	14763
samp460	254	Over	2	DGNControl	14763
samp461	244	Over	2	DGNControl	14763
samp462	188	Over	2	DGNControl	14763
samp463	228	Over	2	DGNControl	14763
samp464	289	Over	2	DGNControl	14763
samp465	269	Over	2	DGNControl	14763
samp466	172	Over	2	DGNControl	14763
samp467	179	Over	2	DGNControl	14763
samp468	129	Over	2	DGNControl	14763
samp469	175	Over	2	DGNControl	14763
samp470	201	Over	2	DGNControl	14763
samp471	215	Over	2	DGNControl	14763
samp472	184	Over	2	DGNControl	14763
samp473	199	Over	2	DGNControl	14763
samp474	770	Over	2	DGNControl	14763
samp475	309	Over	2	DGNControl	14763
samp476	169	Over	2	DGNControl	14763
samp477	119	Over	2	DGNControl	14763
samp478	124	Over	2	DGNControl	14763
samp479	341	Over	2	DGNControl	14763
samp480	276	Over	2	DGNControl	14763
samp481	224	Over	2	DGNControl	14763
samp482	253	Over	2	DGNControl	14763
samp483	196	Over	2	DGNControl	14763
samp484	177	Over	2	DGNControl	14763
samp485	136	Over	2	DGNControl	14763
samp486	535	Over	2	DGNControl	14763
samp487	174	Over	2	DGNControl	14763
samp488	211	Over	2	DGNControl	14763
samp489	229	Over	2	DGNControl	14763
samp490	313	Over	2	DGNControl	14763
samp491	262	Over	2	DGNControl	14763
samp492	248	Over	2	DGNControl	14763
samp493	317	Over	2	DGNControl	14763
samp494	162	Over	2	DGNControl	14763
samp495	310	Over	2	DGNControl	14763
samp496	275	Over	2	DGNControl	14763
samp497	331	Over	2	DGNControl	14763
samp498	354	Over	2	DGNControl	14763
samp499	180	Over	2	DGNControl	14763
samp500	186	Over	2	DGNControl	14763
