sample	value	filter
samp19	477	EXP_OUTLIER
samp19	79	EXP_OUTLIER_PLI
samp19	139	EXP_OUTLIER_ASE
samp19	213	EXP_OUTLIER_RIVER
samp19	12	EXP_OUTLIER_HPO
samp19	117	EXP_OUTLIER_RV
samp19	15	EXP_OUTLIER_RV_CADD
samp19	0	EXP_OUTLIER_RV_CADD_HPO
samp20	492	RV_10KB_CADD
samp20	109	RV_10KB_HPO
samp20	21	RV_10KB_CADD_HPO
samp20	700	HPO
samp20	1319	EXP_OUTLIER
samp20	153	EXP_OUTLIER_PLI
samp20	216	EXP_OUTLIER_ASE
samp20	392	EXP_OUTLIER_RIVER
samp20	31	EXP_OUTLIER_HPO
samp20	175	EXP_OUTLIER_RV
samp20	34	EXP_OUTLIER_RV_CADD
samp20	2	EXP_OUTLIER_RV_CADD_HPO
samp21	1776	RV_10KB_CADD
samp21	315	RV_10KB_HPO
samp21	62	RV_10KB_CADD_HPO
samp21	700	HPO
samp21	678	EXP_OUTLIER
samp21	128	EXP_OUTLIER_PLI
samp21	202	EXP_OUTLIER_ASE
samp21	329	EXP_OUTLIER_RIVER
samp21	23	EXP_OUTLIER_HPO
samp21	233	EXP_OUTLIER_RV
samp21	57	EXP_OUTLIER_RV_CADD
samp21	4	EXP_OUTLIER_RV_CADD_HPO
samp22	2544	RV_10KB_CADD
samp22	1250	RV_10KB_HPO
samp22	328	RV_10KB_CADD_HPO
samp22	1951	HPO
samp22	814	EXP_OUTLIER
samp22	123	EXP_OUTLIER_PLI
samp22	292	EXP_OUTLIER_ASE
samp22	543	EXP_OUTLIER_RIVER
samp22	60	EXP_OUTLIER_HPO
samp22	400	EXP_OUTLIER_RV
samp22	82	EXP_OUTLIER_RV_CADD
samp22	9	EXP_OUTLIER_RV_CADD_HPO
samp23	504	RV_10KB_CADD
samp23	227	RV_10KB_HPO
samp23	85	RV_10KB_CADD_HPO
samp23	2680	HPO
samp23	1657	EXP_OUTLIER
samp23	216	EXP_OUTLIER_PLI
samp23	289	EXP_OUTLIER_ASE
samp23	192	EXP_OUTLIER_RIVER
samp23	199	EXP_OUTLIER_HPO
samp23	89	EXP_OUTLIER_RV
samp23	43	EXP_OUTLIER_RV_CADD
